,ID,Similar_set
0,"['A1K9SIFW86UAT8', 'A2SLF3KZ6O52Q3']","['great', 'great']"
1,"['A1K9SIFW86UAT8', 'A1KXH84YZ9SEK']","['great', 'great']"
2,"['A1K9SIFW86UAT8', 'A29QGJTAKBJ5J2']","['great', 'great']"
3,"['A1K9SIFW86UAT8', 'A3APM5ZLH7W9KM']","['great', 'great']"
4,"['A2SLF3KZ6O52Q3', 'A1KXH84YZ9SEK']","['great', 'great']"
5,"['A2SLF3KZ6O52Q3', 'A29QGJTAKBJ5J2']","['great', 'great']"
6,"['A2SLF3KZ6O52Q3', 'A3APM5ZLH7W9KM']","['great', 'great']"
7,"['A1KXH84YZ9SEK', 'A29QGJTAKBJ5J2']","['great', 'great']"
8,"['A1KXH84YZ9SEK', 'A3APM5ZLH7W9KM']","['great', 'great']"
9,"['A29QGJTAKBJ5J2', 'A3APM5ZLH7W9KM']","['great', 'great']"
10,"['A1KEG0JFOIJ753', 'A2SLF3KZ6O52Q3']","['great', 'great']"
11,"['A1KEG0JFOIJ753', 'A1KXH84YZ9SEK']","['great', 'great']"
12,"['A1KEG0JFOIJ753', 'A29QGJTAKBJ5J2']","['great', 'great']"
13,"['A1KEG0JFOIJ753', 'A3APM5ZLH7W9KM']","['great', 'great']"
14,"['A2SLF3KZ6O52Q3', 'A1KXH84YZ9SEK']","['great', 'great']"
15,"['A2SLF3KZ6O52Q3', 'A29QGJTAKBJ5J2']","['great', 'great']"
16,"['A2SLF3KZ6O52Q3', 'A3APM5ZLH7W9KM']","['great', 'great']"
17,"['A1KXH84YZ9SEK', 'A29QGJTAKBJ5J2']","['great', 'great']"
18,"['A1KXH84YZ9SEK', 'A3APM5ZLH7W9KM']","['great', 'great']"
19,"['A29QGJTAKBJ5J2', 'A3APM5ZLH7W9KM']","['great', 'great']"
20,"['A1KEG0JFOIJ753', 'A1K9SIFW86UAT8']","['great', 'great']"
21,"['A1KEG0JFOIJ753', 'A1KXH84YZ9SEK']","['great', 'great']"
22,"['A1KEG0JFOIJ753', 'A29QGJTAKBJ5J2']","['great', 'great']"
23,"['A1KEG0JFOIJ753', 'A3APM5ZLH7W9KM']","['great', 'great']"
24,"['A1K9SIFW86UAT8', 'A1KXH84YZ9SEK']","['great', 'great']"
25,"['A1K9SIFW86UAT8', 'A29QGJTAKBJ5J2']","['great', 'great']"
26,"['A1K9SIFW86UAT8', 'A3APM5ZLH7W9KM']","['great', 'great']"
27,"['A1KXH84YZ9SEK', 'A29QGJTAKBJ5J2']","['great', 'great']"
28,"['A1KXH84YZ9SEK', 'A3APM5ZLH7W9KM']","['great', 'great']"
29,"['A29QGJTAKBJ5J2', 'A3APM5ZLH7W9KM']","['great', 'great']"
30,"['A1KEG0JFOIJ753', 'A1K9SIFW86UAT8']","['great', 'great']"
31,"['A1KEG0JFOIJ753', 'A2SLF3KZ6O52Q3']","['great', 'great']"
32,"['A1KEG0JFOIJ753', 'A29QGJTAKBJ5J2']","['great', 'great']"
33,"['A1KEG0JFOIJ753', 'A3APM5ZLH7W9KM']","['great', 'great']"
34,"['A1K9SIFW86UAT8', 'A2SLF3KZ6O52Q3']","['great', 'great']"
35,"['A1K9SIFW86UAT8', 'A29QGJTAKBJ5J2']","['great', 'great']"
36,"['A1K9SIFW86UAT8', 'A3APM5ZLH7W9KM']","['great', 'great']"
37,"['A2SLF3KZ6O52Q3', 'A29QGJTAKBJ5J2']","['great', 'great']"
38,"['A2SLF3KZ6O52Q3', 'A3APM5ZLH7W9KM']","['great', 'great']"
39,"['A29QGJTAKBJ5J2', 'A3APM5ZLH7W9KM']","['great', 'great']"
40,"['A1KEG0JFOIJ753', 'A1K9SIFW86UAT8']","['great', 'great']"
41,"['A1KEG0JFOIJ753', 'A2SLF3KZ6O52Q3']","['great', 'great']"
42,"['A1KEG0JFOIJ753', 'A1KXH84YZ9SEK']","['great', 'great']"
43,"['A1KEG0JFOIJ753', 'A3APM5ZLH7W9KM']","['great', 'great']"
44,"['A1K9SIFW86UAT8', 'A2SLF3KZ6O52Q3']","['great', 'great']"
45,"['A1K9SIFW86UAT8', 'A1KXH84YZ9SEK']","['great', 'great']"
46,"['A1K9SIFW86UAT8', 'A3APM5ZLH7W9KM']","['great', 'great']"
47,"['A2SLF3KZ6O52Q3', 'A1KXH84YZ9SEK']","['great', 'great']"
48,"['A2SLF3KZ6O52Q3', 'A3APM5ZLH7W9KM']","['great', 'great']"
49,"['A1KXH84YZ9SEK', 'A3APM5ZLH7W9KM']","['great', 'great']"
50,"['A1KEG0JFOIJ753', 'A1K9SIFW86UAT8']","['great', 'great']"
51,"['A1KEG0JFOIJ753', 'A2SLF3KZ6O52Q3']","['great', 'great']"
52,"['A1KEG0JFOIJ753', 'A1KXH84YZ9SEK']","['great', 'great']"
53,"['A1KEG0JFOIJ753', 'A29QGJTAKBJ5J2']","['great', 'great']"
54,"['A1K9SIFW86UAT8', 'A2SLF3KZ6O52Q3']","['great', 'great']"
55,"['A1K9SIFW86UAT8', 'A1KXH84YZ9SEK']","['great', 'great']"
56,"['A1K9SIFW86UAT8', 'A29QGJTAKBJ5J2']","['great', 'great']"
57,"['A2SLF3KZ6O52Q3', 'A1KXH84YZ9SEK']","['great', 'great']"
58,"['A2SLF3KZ6O52Q3', 'A29QGJTAKBJ5J2']","['great', 'great']"
59,"['A1KXH84YZ9SEK', 'A29QGJTAKBJ5J2']","['great', 'great']"
60,"['A3R68RWKCSLJNA', 'A3R68RWKCSLJNA']","['toys among best plush dog toys weve tried several dont think truly indestructible since theres always dog somewhere defy claim well made worth buying majority dogs  sure buy size suits dog dont buy one small swallowed easily  dr noys toys great always include extra squeaker pack toy squeaker easily replaceable hidden velcro pouch squeakers indestructible thats include extra advantage secure cant eaten even buy separate packages squeakers dog tough plush toys remove squeaker drives crazy   larger sizes replace squeaker tennis ball active dogspay attention sizes listed extrasmall really small best tiniest toy breeds small puppies medium work dogs dog shredder loves destroy plush toys get large sizes certain breeds like staffordshire terriers bull dogs perhaps another toy would wiser choice know dogso youre tired buying socalled dog toys really glorified baby toys easily destroyed try  lasted two years hard play replacing squeakers even better theyre usually included amazon 4for3 promotion get one free buy four smaller sizes  way test different designs save one later highly recommended', 'glad see many others found great toys toys among best plush dog toys weve tried several dont think truly indestructible since theres always dog somewhere defy claim well made worth buying majority dogs  sure buy size suits dog dont buy one small swallowed easily  dr noys toys great always include extra squeaker pack toy squeaker easily replaceable hidden velcro pouch squeakers indestructible thats include extra advantage secure cant eaten even buy separate packages squeakers dog tough plush toys remove squeaker drives crazy pay attention sizes listed extrasmall really small best tiniest toy breeds small puppies medium work dogs dog shredder loves destroy plush toys get large sizes certain breeds like staffordshire terriers bull dogs perhaps another toy would wiser choice know dogso youre tired buying socalled dog toys really glorified baby toys easily destroyed try lasted two years hard play replacing squeakers  even better theyre usually included amazon 4for3 promotion get one free buy four  way test different designs save one later highly recommended']"
61,"['A3R68RWKCSLJNA', 'A3R68RWKCSLJNA']","['toys among best plush dog toys weve tried several dont think truly indestructible since theres always dog somewhere defy claim well made worth buying majority dogs  sure buy size suits dog dont buy one small swallowed easily  dr noys toys great always include extra squeaker pack toy squeaker easily replaceable hidden velcro pouch squeakers indestructible thats include extra advantage secure cant eaten even buy separate packages squeakers dog tough plush toys remove squeaker drives crazy   larger sizes replace squeaker tennis ball active dogspay attention sizes listed extrasmall really small best tiniest toy breeds small puppies medium work dogs dog shredder loves destroy plush toys get large sizes certain breeds like staffordshire terriers bull dogs perhaps another toy would wiser choice know dogso youre tired buying socalled dog toys really glorified baby toys easily destroyed try lasted two years hard play replacing squeakers even better theyre usually included amazon 4for3 promotion get one free buy four smaller sizes  way test different designs save one later highly recommended', 'glad see many others found great toys toys among best plush dog toys weve tried several dont think truly indestructible since theres always dog somewhere defy claim well made worth buying majority dogs  sure buy size suits dog dont buy one small swallowed easily  dr noys toys great always include extra squeaker pack toy squeaker easily replaceable hidden velcro pouch squeakers indestructible thats include extra advantage secure cant eaten even buy separate packages squeakers dog tough plush toys remove squeaker drives crazy pay attention sizes listed extrasmall really small best tiniest toy breeds small puppies medium work dogs dog shredder loves destroy plush toys get large sizes certain breeds like staffordshire terriers bull dogs perhaps another toy would wiser choice know dogso youre tired buying socalled dog toys really glorified baby toys easily destroyed try lasted two years hard play replacing squeakers  even better theyre usually included amazon 4for3 promotion get one free buy four  way test different designs save one later highly recommended']"
62,"['A3R68RWKCSLJNA', 'A3R68RWKCSLJNA']","['toys among best plush dog toys weve tried several dont think truly indestructible since theres always dog somewhere defy claim well made worth buying majority dogs  sure buy size suits dog dont buy one small swallowed easily  dr noys toys great always include extra squeaker pack toy squeaker easily replaceable hidden velcro pouch squeakers indestructible thats include extra advantage secure cant eaten even buy separate packages squeakers dog tough plush toys  remove squeaker drives crazy pay attention sizes listed extrasmall really small best tiniest toy breeds small puppies medium work dogs dog shredder loves destroy plush toys get large sizesso youre tired buying socalled dog toys really glorified baby toys easily destroyed try  even better theyre usually included amazon 4for3 promotion get one free buy four  way test different designs save one later highly recommended', 'toys among best plush dog toys weve tried several dont think truly indestructible since theres always dog somewhere defy claim well made worth buying majority dogs  sure buy size suits dog dont buy one small swallowed easily  dr noys toys great always include extra squeaker pack toy squeaker easily replaceable hidden velcro pouch squeakers indestructible thats include extra advantage secure cant eaten even buy separate packages squeakers dog tough plush toys remove squeaker drives crazy   larger sizes replace squeaker tennis ball active dogspay attention sizes listed extrasmall really small best tiniest toy breeds small puppies medium work dogs dog shredder loves destroy plush toys get large sizes certain breeds like staffordshire terriers bull dogs perhaps another toy would wiser choice know dogso youre tired buying socalled dog toys really glorified baby toys easily destroyed try  lasted two years hard play replacing squeakers even better theyre usually included amazon 4for3 promotion get one free buy four smaller sizes  way test different designs save one later highly recommended']"
